academic_year,subject,optimal_score,total_standards,total_credits_available,avg_weight_excellence,max_weight_excellence,min_weight_excellence,weight_std_dev,credits_efficiency,high_weight_standards,ue_approved,weighted_avg_excellence
2018,Religious Studies,0.8281460099917317,7,42,0.8283283322401732,1.0,0.7,0.08945888767455687,1.0,1,True,0.8283283322401734
2018,Education for Sustainability,0.889423690932312,8,39,0.8886141359144991,1.0,0.666666666666667,0.10389542400632207,1.0,3,True,0.8806709892916791
2018,Business Studies,0.9254780618331567,12,60,0.8949726939964324,0.96849087893864,0.818181818181818,0.04466575883707042,1.0,4,True,0.8888583889171849
2018,Chemistry,0.8920723756209111,10,37,0.8262745865019434,0.945474736257635,0.716349173121206,0.08463275113053606,1.0,3,True,0.8437232022387057
2018,Classical Studies,0.8993788082630386,6,32,0.8334486339639287,0.946363636363636,0.5,0.1696477975490472,1.0,3,True,0.8210618839750567
2018,Economics,0.9455688380074508,7,34,0.9168434453320857,0.964759246336357,0.839839572192513,0.04849333891843827,1.0,5,True,0.917371854031075
2018,Accounting,0.9099851180829992,9,39,0.8910605472315107,1.0,0.787868038311458,0.07720040578253179,1.0,4,True,0.8939071192548544
2018,Earth and Space Science,0.9344980154109318,9,36,0.9192949732369176,1.0,0.666666666666667,0.1037183359865451,1.0,7,True,0.9192949732369176
2018,Music Studies,0.9060932334699253,16,88,0.821923208896175,1.0,0.5,0.13276082632568958,1.0,6,True,0.8032378262941552
2018,Geography,0.8806998585771525,12,43,0.8896385904091825,1.0,0.777777777777778,0.06383667554539398,1.0,4,True,0.890061363451452
2018,History,0.9413127432855757,9,46,0.8999813320639206,0.9609375,0.831980625736353,0.05201469088984471,1.0,5,True,0.9004864197542988
2018,Design (Practical Art),0.8919970770641633,7,38,0.8540400109740268,1.0,0.5,0.16945042737340438,1.0,3,True,0.8712339565394848
2018,Painting (Practical Art),0.9036151402102447,6,34,0.855261058484314,0.924848484848485,0.76,0.06022632827229179,1.0,2,True,0.8757279485914232
2018,Photography (Practical Art),0.9152714091095352,7,38,0.905504140099274,1.0,0.866666666666667,0.047623595385081305,1.0,3,True,0.9126259584437885
2018,Printmaking (Practical Art),0.8357533917258425,6,34,0.7283315167258424,0.871929824561404,0.5,0.17770632715319,1.0,0,True,0.7559591956300064
2018,Sculpture (Practical Art),0.8772118648297894,9,46,0.828979781600458,0.892857142857143,0.714285714285714,0.0616690581443391,1.0,0,True,0.8389841769047063
2018,Health Education,0.9586685654999604,10,46,0.9516214489463426,1.0,0.903987935656837,0.03640487218982511,1.0,10,True,0.9507095666786054
2018,Home Economics,0.9146566058193715,10,48,0.9259967713114134,1.0,0.785714285714286,0.06512682097475724,1.0,7,True,0.9261233346775511
2018,English,0.843760693984123,9,35,0.9042014204443272,0.950400251137969,0.850442284591023,0.03201983161907584,1.0,4,True,0.9041837733444148
2018,History of Art,0.893758627044043,9,36,0.8737853974223653,0.941634241245136,0.824019024970274,0.04619062280603685,1.0,3,True,0.8737853974223653
2018,Media Studies,0.7750654285395515,14,52,0.8971502858199765,1.0,0.772727272727273,0.05725408406012018,1.0,5,True,0.8885799439911496
2018,Physical Education,0.8714895375562052,19,75,0.8932800909072081,1.0,0.78125,0.049422093053077036,1.0,7,True,0.8933504865595168
2018,Latin,0.7232563732563732,6,27,0.6806557639890972,0.842857142857143,0.5,0.13583233662484992,1.0,0,True,0.6984501095612208
2018,Drama,0.8975693547353717,13,57,0.8502352564287521,1.0,0.5,0.13439625043789916,1.0,5,True,0.8495510575518342
2018,Physics,0.9132482147685014,10,39,0.8504981912931784,0.961270841538664,0.613636363636364,0.09644614231002355,1.0,3,True,0.8660953900826461
2018,Agriculture & Horticulture,0.9124742302995443,7,34,0.9387822464618173,1.0,0.861721611721612,0.05201594278434162,1.0,5,True,0.9382171037408549
2018,Chinese,0.6914136352975925,5,24,0.6892676611857336,0.864825581395349,0.559643255295429,0.15889019409576646,1.0,0,True,0.6914136352975925
2018,Cook Islands Maori,0.6791369676937139,5,24,0.6784337531369089,0.741071428571429,0.620689655172414,0.051261569322916416,1.0,0,True,0.6791369676937141
2018,French,0.8017722949605894,5,24,0.7977060549883369,0.915057915057915,0.704188481675393,0.10632017932484988,1.0,2,True,0.8017722949605894
2018,German,0.7657222970464824,5,24,0.7597460367435707,0.902777777777778,0.645,0.12274654088657412,1.0,1,True,0.7657222970464824
2018,Japanese,0.7932894178960256,5,24,0.789804167158074,0.888790035587189,0.718995290423862,0.08887816853184304,1.0,0,True,0.7932894178960256
2018,Korean,0.6530621408045979,5,24,0.6494612068965518,0.75,0.551724137931035,0.09404339988526449,1.0,0,True,0.6530621408045977
2018,Samoan,0.8787061860371553,5,24,0.8768418180672075,0.956293706293707,0.831269349845201,0.06070614045607761,1.0,2,True,0.8787061860371553
2018,Spanish,0.8206668795775344,5,24,0.8177864730511495,0.952764976958525,0.73134328358209,0.11138529249319348,1.0,2,True,0.8206668795775344
2018,Calculus,0.9273821569402427,13,47,0.8754207201002324,0.945652173913044,0.782608695652174,0.05727221147770409,1.0,6,True,0.8807901667950031
2018,Statistics,0.9546297095524657,11,44,0.9173887691736703,0.982142857142857,0.809278350515464,0.052333169996951416,1.0,7,True,0.9173887691736703
2018,Dance,0.8688759559580502,12,60,0.8243874187382602,1.0,0.6,0.1299611457050816,1.0,4,True,0.8239458852833395
2018,Social Studies,0.8802044873275928,6,28,0.9038900647564204,1.0,0.855436991869919,0.05952149882361273,1.0,3,True,0.8973181319950794
2018,Biology,0.8809779737377476,11,39,0.8662331207016333,0.952778151486614,0.72093023255814,0.06992891778088288,1.0,4,True,0.8746550332954259
2018,Technology/Hangarau,0.9376291186280022,16,75,0.8786674111559003,1.0,0.5,0.11579767715429053,1.0,7,True,0.8705308949323687
2018,Construction and Mechanical Technologies,0.8980089917222518,11,52,0.8366572345543283,1.0,0.5,0.13646711908125278,1.0,4,True,0.8305898323804078
2018,Design and Visual Communication,0.9232333273666674,9,52,0.9375512545626441,1.0,0.846701649175412,0.060376113674863854,1.0,6,True,0.9365446721428865
2018,Digital Technologies,0.9165228833382559,18,80,0.8802892012024832,1.0,0.75974025974026,0.06604073035802492,1.0,5,False,0.8819567304942109
2018,Processing Technologies,0.34664982281139256,2,10,0.8215891193069955,0.873441396508728,0.769736842105263,0.07333019365861929,0.4166666666666667,0,True,0.8319595747473422
2018,Te Reo Māori,0.8979354636065375,8,44,0.8391490236482103,0.943840579710145,0.666666666666667,0.08673161903875597,1.0,2,True,0.839497632495252
2018,Tongan,0.8054430712685138,5,24,0.805024413838334,0.846491228070175,0.768,0.028552055220461003,1.0,0,True,0.8054430712685138
2018,Te Reo Rangatira,0.823920338086547,9,36,0.8803604229794787,0.954954954954955,0.832142857142857,0.055640543444164595,1.0,3,True,0.8738221254844021
2018,Science/Pūtaiao,0.25,3,12,1.0,1.0,1.0,0.0,0.5,3,True,1.0
2018,New Zealand Sign Language,0.5208333333333334,4,20,0.625,0.833333333333333,0.5,0.15957118462605624,0.8333333333333334,0,True,0.625
2018,Tikanga ā-Iwi,0.6793504901960784,6,24,0.7626838235294118,1.0,0.5,0.18381231583444613,1.0,1,True,0.7626838235294118
