Academic Year,Standard Number,Standard Version,Adjusted Not Achieved Percentile,Adjusted Achieved Percentile,Adjusted Merit Percentile,Adjusted Excellence Percentile
2022,18,6,0.04395604395604397,0.543956043956044,1,1
2022,18,7,0,0.5,1,1
2022,37,5,0,0.5,1,1
2022,37,6,0.01000000000000001,0.51,1,1
2022,43,8,0,0.5,1,1
2022,43,9,0,0.5,1,1
2022,108,7,0.04918032786885246,0.5491803278688525,1,1
2022,108,8,0.08333333333333331,0.5833333333333333,1,1
2022,112,7,0,0.5,1,1
2022,112,8,0.0108695652173913,0.5108695652173914,1,1
2022,112,9,0.09655172413793106,0.596551724137931,1,1
2022,122,7,0,0.5,1,1
2022,122,8,0.3,0.8,1,1
2022,123,7,0,0.5,1,1
2022,123,8,0,0.5,1,1
2022,155,7,0,0.5,1,1
2022,168,7,0.05770513675783856,0.5577051367578385,1,1
2022,376,8,0,0.5,1,1
2022,376,9,0.004451038575667643,0.5044510385756676,1,1
2022,378,8,0.005319148936170193,0.5053191489361701,1,1
2022,378,9,0.02606635071090047,0.5260663507109005,1,1
2022,422,4,0,0.5,1,1
2022,423,7,0,0.5,1,1
2022,424,7,0,0.5,1,1
2022,424,8,0.01634877384196187,0.5163487738419619,1,1
2022,427,7,0.01829268292682929,0.5182926829268293,1,1
2022,427,8,0.07002457002457002,0.5700245700245701,1,1
2022,428,8,0.15625,0.65625,1,1
2022,428,9,0.1076923076923077,0.6076923076923078,1,1
2022,430,7,0.03333333333333333,0.5333333333333333,1,1
2022,430,8,0.105543710021322,0.6055437100213219,1,1
2022,439,8,0,0.5,1,1
2022,468,6,0.124113475177305,0.624113475177305,1,1
2022,471,6,0,0.5,1,1
2022,474,7,0,0.5,1,1
2022,571,4,0,0.5,1,1
2022,572,3,0,0.5,1,1
2022,572,4,0,0.5,1,1
2022,572,5,0,0.5,1,1
2022,572,6,0,0.5,1,1
2022,573,5,0,0.5,1,1
2022,576,4,0,0.5,1,1
2022,576,5,0,0.5,1,1
2022,581,4,0,0.5,1,1
2022,582,4,0,0.5,1,1
2022,771,4,0.5,1,1,1
2022,898,4,0.3055555555555556,0.8055555555555556,1,1
2022,898,5,0,0.5,1,1
2022,920,4,0.234375,0.734375,1,1
2022,920,5,0.08737864077669905,0.587378640776699,1,1
2022,1120,1,0,0.5,1,1
2022,1121,1,0,0.5,1,1
2022,1204,8,0,0.5,1,1
2022,1221,7,0,0.5,1,1
2022,1221,8,0,0.5,1,1
2022,1234,8,0,0.5,1,1
2022,1234,9,0,0.5,1,1
2022,1252,8,0,0.5,1,1
2022,1256,8,0,0.5,1,1
2022,1279,7,0.1016150740242261,0.6016150740242261,1,1
2022,1279,8,0.04594594594594592,0.5459459459459459,1,1
2022,1296,7,0.1056393963463066,0.6056393963463066,1,1
2022,1296,8,0.02071005917159763,0.5207100591715976,1,1
2022,1304,9,0.1059431524547804,0.6059431524547804,1,1
2022,1304,10,0.03947368421052633,0.5394736842105263,1,1
2022,1307,8,0.0853517877739331,0.5853517877739332,1,1
2022,1307,9,0.01889168765743071,0.5188916876574308,1,1
2022,1312,7,0.02459016393442626,0.5245901639344263,1,1
2022,1312,8,0.001706484641638251,0.5017064846416383,1,1
2022,1526,5,0,0.5,1,1
2022,1624,7,0,0.5,1,1
2022,1626,6,0,0.5,1,1
2022,1650,7,0,0.5,1,1
2022,1650,8,0,0.5,1,1
2022,1651,6,0,0.5,1,1
2022,1667,7,0,0.5,1,1
2022,1672,6,0,0.5,1,1
2022,1734,8,0.008547008547008572,0.5085470085470085,1,1
2022,1753,7,0,0.5,1,1
2022,1810,8,0,0.5,1,1
2022,1810,9,0,0.5,1,1
2022,1818,6,0,0.5,1,1
2022,1818,8,0,0.5,1,1
2022,1828,6,0,0.5,1,1
2022,1828,7,0,0.5,1,1
2022,1980,8,0,0.5,1,1
2022,1980,9,0.05684931506849317,0.5568493150684932,1,1
2022,2142,4,0.02187499999999998,0.521875,1,1
2022,2436,8,0.09411764705882353,0.5941176470588235,1,1
2022,2571,10,0.3571428571428572,0.8571428571428572,1,1
2022,2571,11,0.1666666666666667,0.6666666666666667,1,1
2022,2575,11,0,0.5,1,1
2022,2595,10,0.09999999999999998,0.6,1,1
2022,2595,11,0,0.5,1,1
2022,2596,10,0.5,1,1,1
2022,2597,10,0,0.5,1,1
2022,2622,8,0,0.5,1,1
2022,2672,4,0.5,1,1,1
2022,2672,7,0.01666666666666666,0.5166666666666666,1,1
2022,2678,7,0,0.5,1,1
2022,2679,7,0,0.5,1,1
2022,2680,7,0,0.5,1,1
2022,2682,7,0,0.5,1,1
2022,2797,8,0.09333333333333332,0.5933333333333333,1,1
2022,2797,9,0.01666666666666666,0.5166666666666666,1,1
2022,2834,5,0.2,0.7,1,1
2022,2835,5,0,0.5,1,1
2022,2839,5,0,0.5,1,1
2022,2866,6,0.07142857142857145,0.5714285714285714,1,1
2022,2870,6,0,0.5,1,1
2022,2871,6,0,0.5,1,1
2022,2886,5,0.28125,0.78125,1,1
2022,2895,6,0,0.5,1,1
2022,2925,5,0.005813953488372103,0.5058139534883721,1,1
2022,2925,6,0.06122448979591838,0.5612244897959184,1,1
2022,2990,7,0.09195402298850575,0.5919540229885057,1,1
2022,2990,8,0.03245436105476673,0.5324543610547667,1,1
2022,3272,4,0,0.5,1,1
2022,3272,5,0,0.5,1,1
2022,3285,4,0,0.5,1,1
2022,3285,5,0,0.5,1,1
2022,3286,4,0,0.5,1,1
2022,3286,5,0,0.5,1,1
2022,3287,4,0,0.5,1,1
2022,3287,5,0,0.5,1,1
2022,3288,4,0,0.5,1,1
2022,3288,5,0,0.5,1,1
2022,3312,4,0,0.5,1,1
2022,3455,4,0,0.5,1,1
2022,3466,7,0.01851851851851855,0.5185185185185186,1,1
2022,3466,8,0,0.5,1,1
2022,3469,1,0,0.5,1,1
2022,3491,7,0.1219346049046322,0.6219346049046321,1,1
2022,3491,8,0.1049382716049383,0.6049382716049383,1,1
2022,3494,6,0.009389671361502372,0.5093896713615024,1,1
2022,3494,7,0.007462686567164201,0.5074626865671642,1,1
2022,3727,9,0.01176470588235296,0.5117647058823529,1,1
2022,3727,10,0.08884803921568629,0.5888480392156863,1,1
2022,3788,5,0,0.5,1,1
2022,3789,9,0,0.5,1,1
2022,3800,6,0,0.5,1,1
2022,3856,9,0.01030927835051548,0.5103092783505154,1,1
2022,3856,10,0.02197802197802196,0.5219780219780219,1,1
2022,3894,6,0,0.5,1,1
2022,3895,6,0,0.5,1,1
2022,3896,6,0,0.5,1,1
2022,4251,8,0.05837432047631375,0.5583743204763137,1,1
2022,4440,7,0,0.5,1,1
2022,4456,5,0,0.5,1,1
2022,4465,5,0,0.5,1,1
2022,4591,5,0.3666666666666667,0.8666666666666667,1,1
2022,4592,6,0,0.5,1,1
2022,4597,5,0.2647058823529412,0.7647058823529411,1,1
2022,4645,9,0.00486223662884927,0.5048622366288493,1,1
2022,4797,9,0.02000000000000002,0.52,1,1
2022,4810,6,0,0.5,1,1
2022,4811,5,0,0.5,1,1
2022,4864,1,0,0.5,1,1
2022,4864,7,0.051056338028169,0.551056338028169,1,1
2022,5148,8,0.07142857142857145,0.5714285714285714,1,1
2022,5148,9,0.01724137931034481,0.5172413793103448,1,1
2022,5149,8,0,0.5,1,1
2022,5149,9,0,0.5,1,1
2022,5165,5,0,0.5,1,1
2022,5165,6,0,0.5,1,1
2022,5180,6,0,0.5,1,1
2022,5180,7,0,0.5,1,1
2022,5189,7,0.01282051282051283,0.5128205128205128,1,1
2022,5468,3,0,0.5,1,1
2022,5482,5,0.09210526315789475,0.5921052631578947,1,1
2022,5742,5,0,0.5,1,1
2022,5742,6,0,0.5,1,1
2022,5744,5,0,0.5,1,1
2022,5766,5,0.1111111111111111,0.6111111111111112,1,1
2022,5955,8,0.01020408163265307,0.5102040816326531,1,1
2022,5955,9,0,0.5,1,1
2022,5968,8,0,0.5,1,1
2022,5968,9,0,0.5,1,1
2022,6142,6,0.1666666666666667,0.6666666666666667,1,1
2022,6142,8,0,0.5,1,1
2022,6143,8,0,0.5,1,1
2022,6144,7,0,0.5,1,1
2022,6144,8,0,0.5,1,1
2022,6146,8,0,0.5,1,1
2022,6147,8,0,0.5,1,1
2022,6212,6,0,0.5,1,1
2022,6314,7,0.0733333333333333,0.5733333333333333,1,1
2022,6315,7,0.04761904761904762,0.5476190476190477,1,1
2022,6345,6,0,0.5,1,1
2022,6345,7,0.05555555555555558,0.5555555555555556,1,1
2022,6400,6,0.007320644216691041,0.5073206442166911,1,1
2022,6476,6,0,0.5,1,1
2022,6476,7,0,0.5,1,1
2022,6479,7,0,0.5,1,1
2022,6523,6,0,0.5,1,1
2022,6571,6,0.2228070175438597,0.7228070175438597,1,1
2022,6580,6,0,0.5,1,1
2022,6580,7,0,0.5,1,1
2022,6580,8,0,0.5,1,1
2022,6611,5,0,0.5,1,1
2022,6611,6,0,0.5,1,1
2022,6612,5,0,0.5,1,1
2022,6612,6,0,0.5,1,1
2022,6613,6,0,0.5,1,1
2022,6613,7,0,0.5,1,1
2022,6617,6,0,0.5,1,1
2022,6622,6,0,0.5,1,1
2022,6699,4,0.2777777777777778,0.7777777777777778,1,1
2022,6700,4,0.05128205128205127,0.5512820512820513,1,1
2022,6701,4,0.06,0.56,1,1
2022,6896,5,0.06,0.56,1,1
2022,6896,6,0.08620689655172414,0.5862068965517242,1,1
2022,6950,5,0,0.5,1,1
2022,6950,6,0,0.5,1,1
2022,6997,5,0,0.5,1,1
2022,7038,3,0,0.5,1,1
2022,7038,4,0,0.5,1,1
2022,7126,6,0.02135493372606773,0.5213549337260677,1,1
2022,7127,7,0.03687445127304651,0.5368744512730466,1,1
2022,7337,7,0.05555555555555558,0.5555555555555556,1,1
2022,7337,8,0.015625,0.515625,1,1
2022,7909,6,0,0,0,0.5
2022,8949,6,0,0.5,1,1
2022,8991,4,0.09259259259259262,0.2592592592592593,0.5,0.8333333333333334
2022,8995,4,0.06363636363636366,0.4181818181818182,0.7909090909090909,0.9363636363636364
2022,8995,5,0.1573033707865169,0.5168539325842696,0.8089887640449438,0.949438202247191
2022,8999,4,0.1710526315789474,0.4605263157894737,0.736842105263158,0.9473684210526316
2022,8999,5,0.2235294117647059,0.5588235294117647,0.7705882352941177,0.9352941176470588
2022,9003,4,0.1666666666666667,0.4722222222222222,0.75,0.9444444444444445
2022,9007,5,0,0,0,0.5
2022,9184,6,0,0.5,1,1
2022,9184,7,0,0.5,1,1
2022,9221,10,0.1323529411764706,0.4705882352941176,0.7794117647058824,0.9411764705882354
2022,9681,7,0.03262362637362637,0.5326236263736264,1,1
2022,9681,8,0.007290400972053468,0.5072904009720535,1,1
2022,9694,8,0.03203342618384403,0.532033426183844,1,1
2022,9694,9,0.00990099009900991,0.5099009900990099,1,1
2022,9695,7,0.050561797752809,0.550561797752809,1,1
2022,9705,7,0.01748633879781419,0.5174863387978141,1,1
2022,9705,8,0,0.5,1,1
2022,9792,5,0.3571428571428572,0.8571428571428572,1,1
2022,10013,6,0.07317073170731708,0.5731707317073171,1,1
2022,10013,7,0,0.5,1,1
2022,10019,6,0.05825242718446599,0.558252427184466,1,1
2022,10019,7,0,0.5,1,1
2022,10026,6,0.07479508196721313,0.5747950819672132,1,1
