standard,title,credits,assessment_type,subject
91909,Present a reflective analysis of developing a digital outcome,3,External,Digital Technologies
91850,Te tatari i nga tikanga toi taketake o nga mahi a te rehia,4,Internal,Nga Mahi a Te Rehia
91851,Te tatari i te panonitanga o nga huanga toi rehia,4,Internal,Nga Mahi a Te Rehia
91853,"Te tatari i te whakaputanga mai o nga ahuatanga ao wairua, ao kikokiko i roto i nga mahi a te rehia",4,Internal,Nga Mahi a Te Rehia
91854,Te whakaatu maramatanga ki nga kaupapa here o te ao toi whanui i roto i nga mahi a te rehia,4,Internal,Nga Mahi a Te Rehia
91860,Te tatari i nga tikanga toi taketake o nga toi puoro,4,Internal,Toi Puoro
91861,Te tatari i te panonitanga o nga huanga toi puoro,4,Internal,Toi Puoro
91862,Te kotuitui i nga ahuatanga toi taketake o nga toi puoro hei waihanga mahi toi motuhake,4,Internal,Toi Puoro
91985,Perform three categories within a discipline of Te Ao Haka,5,Internal,Te Ao Haka
91864,Te whakaatu maramatanga ki nga kaupapa here o te ao toi whanui i roto i nga toi puoro,4,Internal,Toi Puoro
91984,Reflect on a personal learning journey in a discipline of Te Ao Haka,5,Internal,Te Ao Haka
91986,Perform two Te Ao Haka disciplines,5,External,Te Ao Haka
91987,Demonstrate understanding of a key role within Te Ao Haka,5,External,Te Ao Haka
90728,Research a current scientific controversy,4,Internal,Science
91821,Te tatari i nga matatika e pa ana ki te mahi a te tangata i te atea,4,Internal,Putaiao
91837,Te tatari i nga whakataunga matatika e hangai ana ki nga mahi hangarau,5,Internal,Hangarau
91838,Te tatari i te whakamahi i nga matapono Maori i roto i nga mahi hangarau,5,Internal,Hangarau
