Academic Year,Standard,Standard Version,Adjusted Not Achieved Percentile,Adjusted Achieved Percentile,Adjusted Merit Percentile,Adjusted Excellence Percentile
2018,90825,3,0.0768503937007874000.298897637795276000,0.553700787401575000,0.831653543307087000
2018,90826,2,0.142857142857143000,0.285714285714286000,0.428571428571429000,0.785714285714286000
2018,90826,3,0.058076422058185000,0.264003473729918000,0.525944420321320000,0.820017368649588000
2018,90827,2,0.000000000000000000,0.500000000000000000,1.000000000000000000,1.000000000000000000
2018,90827,3,0.062803234501347700,0.259299191374663000,0.517654986522911000,0.821159029649596000
2018,90828,2,0.166666666666667000,0.333333333333333000,0.333333333333333000,0.666666666666667000
2018,90828,3,0.129310344827586000,0.438218390804598000,0.692528735632184000,0.883620689655173000
2018,90831,3,0.092105263157894800,0.421052631578947000,0.750000000000000000,0.921052631578948000
2018,90832,2,0.000000000000000000,0.500000000000000000,1.000000000000000000,1.000000000000000000
2018,90832,3,0.113168724279835000,0.407407407407407000,0.683127572016461000,0.888888888888889000
2018,91379,2,0.205085682697623000,0.567993366500829000,0.831398562741846000,0.968490878938640000
2018,91380,2,0.163987138263666000,0.512325830653805000,0.793140407288317000,0.944801714898178000
2018,91381,2,0.156679764243615000,0.555009823182711000,0.862966601178782000,0.964636542239686000
2018,91382,1,0.045454545454545500,0.090909090909090900,0.363636363636364000,0.818181818181818000
2018,91382,2,0.066948284690220200,0.308627752176139000,0.616487455197133000,0.874807987711214000
2018,91383,2,0.110373181530677000,0.392156862745098000,0.677735610373181000,0.895951929158760000
2018,91384,1,0.029411764705882400,0.294117647058824000,0.647058823529412000,0.882352941176471000
2018,91384,2,0.063786650031191500,0.304741110417966000,0.616344354335621000,0.875389893948846000
2018,91385,2,0.104381443298969000,0.396907216494845000,0.698453608247423000,0.905927835051546000
2018,91387,2,0.040500186636804800,0.218924972004479000,0.483762597984323000,0.805337812616648000
2018,91388,1,0.214285714285714000,0.464285714285714000,0.535714285714286000,0.785714285714286000
2018,91388,2,0.022440017137960600,0.133515424164524000,0.345008568980291000,0.733933161953728000
2018,91389,1,0.026548672566371700,0.172566371681416000,0.411504424778761000,0.765486725663717000
2018,91389,2,0.059532974082627600,0.279702335129587000,0.560431100846805000,0.840261739799846000
2018,91390,2,0.133536923931149000,0.443142698500833000,0.755080510827318000,0.945474736257635000
2018,91391,2,0.111934766493699000,0.410748702742772000,0.743143068939956000,0.944329132690882000
2018,91392,2,0.143549306479194000,0.436918107543226000,0.715656469694091000,0.922287668630059000
2018,91393,1,0.089285714285714300,0.250000000000000000,0.464285714285714000,0.803571428571429000
2018,91393,2,0.037889889051706100,0.151088549298723000,0.329547833368223000,0.716349173121206000
2018,91394,2,0.126632595116411000,0.436967632027257000,0.749006246450880000,0.938671209540034000
2018,91395,2,0.108731466227348000,0.410488742449204000,0.728171334431631000,0.926414058209775000
2018,91396,2,0.130000000000000000,0.423939393939394000,0.740303030303030000,0.946363636363636000
2018,91397,2,0.075911175476707700,0.288438329712769000,0.557325609461743000,0.844798455225682000
2018,91398,1,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.500000000000000000
2018,91398,2,0.085432098765432100,0.311358024691358000,0.570370370370370000,0.844444444444445000
2018,91399,2,0.129662209711471000,0.435432793807178000,0.734517945109078000,0.928747361013371000
2018,91400,2,0.144963144963145000,0.443079443079443000,0.733005733005733000,0.934889434889435000
2018,91401,1,0.115384615384615000,0.384615384615385000,0.730769230769231000,0.961538461538462000
2018,91401,2,0.045320855614973300,0.243181818181818000,0.537700534759358000,0.839839572192513000
2018,91402,1,0.071428571428571500,0.285714285714286000,0.642857142857143000,0.928571428571429000
2018,91402,2,0.068644310690742300,0.299942676984809000,0.590856979077100000,0.859558612783032000
2018,91403,2,0.168527564549895000,0.527215631542219000,0.823447313328681000,0.964759246336357000
2018,91404,2,0.204797047970480000,0.590405904059041000,0.848708487084871000,0.963099630996310000
2018,91405,1,0.000000000000000000,0.125000000000000000,0.458333333333333000,0.833333333333333000
2018,91405,2,0.033699893579283400,0.169031571479248000,0.423199716211423000,0.787868038311458000
2018,91406,2,0.158239143367043000,0.477096966091612000,0.753718024985128000,0.934860202260559000
2018,91407,1,0.000000000000000000,0.454545454545455000,0.954545454545455000,1.000000000000000000
2018,91407,2,0.073793755912961200,0.294938505203406000,0.570482497634816000,0.849337748344371000
2018,91408,2,0.118640038040894000,0.449833571088921000,0.792201616737993000,0.961008083689967000
2018,91409,1,0.027777777777777800,0.250000000000000000,0.611111111111111000,0.888888888888889000
2018,91409,2,0.035767234988880600,0.188843587842847000,0.454225352112676000,0.801148999258710000
2018,91410,2,0.124132613723978000,0.462991518889746000,0.767540478026214000,0.928681572860447000
2018,91411,1,0.016666666666666700,0.400000000000000000,0.883333333333333000,1.000000000000000000
2018,91411,2,0.102302345786273000,0.402693310165074000,0.697219808861859000,0.896828844483058000
2018,91412,1,0.000000000000000000,0.500000000000000000,1.000000000000000000,1.000000000000000000
2018,91412,2,0.130581297388374000,0.447346251053075000,0.723251895534962000,0.906486941870261000
2018,91413,2,0.252895752895753000,0.673745173745174000,0.909909909909910000,0.989060489060489000
2018,91414,2,0.187793427230047000,0.569640062597809000,0.859937402190923000,0.978090766823161000
2018,91415,1,0.000000000000000000,0.166666666666667000,0.333333333333333000,0.666666666666667000
2018,91415,2,0.109659356042930000,0.411339244050397000,0.709519365375642000,0.907839477368175000
2018,91416,1,0.187500000000000000,0.437500000000000000,0.593750000000000000,0.843750000000000000
2018,91416,2,0.049529470034670600,0.179296681525508000,0.370975730559683000,0.741208519068846000
2018,91417,1,0.000000000000000000,0.500000000000000000,1.000000000000000000,1.000000000000000000
2018,91417,2,0.034188034188034200,0.175213675213675000,0.397435897435897000,0.756410256410256000
2018,91418,1,0.076923076923076900,0.307692307692308000,0.692307692307692000,0.961538461538462000
2018,91418,2,0.034482758620689700,0.139198782961460000,0.298935091277890000,0.694219066937120000
2018,91419,1,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.500000000000000000
2018,91419,2,0.078717201166180800,0.244897959183673000,0.427842565597668000,0.761661807580175000
2018,91420,2,0.150641025641026000,0.477564102564103000,0.762820512820513000,0.935897435897436000
2018,91421,3,0.116150442477876000,0.397123893805310000,0.707964601769912000,0.926991150442478000
2018,91422,2,0.089285714285714300,0.246428571428571000,0.416071428571429000,0.758928571428571000
2018,91423,2,0.147058823529412000,0.433823529411765000,0.711397058823530000,0.924632352941176000
2018,91424,2,0.064759036144578300,0.213855421686747000,0.406626506024096000,0.757530120481928000
2018,91425,1,0.000000000000000000,0.333333333333333000,0.833333333333333000,1.000000000000000000
2018,91425,2,0.098175965665236100,0.342274678111588000,0.572424892703863000,0.828326180257511000
2018,91426,2,0.139861864824864000,0.476319684262457000,0.777997039960533000,0.941539220522940000
2018,91427,2,0.118844872269530000,0.445390596075528000,0.773787486116253000,0.947241762310256000
2018,91428,1,0.000000000000000000,0.500000000000000000,1.000000000000000000,1.000000000000000000
2018,91428,2,0.080938833570412500,0.334992887624467000,0.636842105263158000,0.882788051209104000
2018,91429,2,0.113514889284805000,0.445660473402902000,0.791422753881395000,0.959277169763299000
2018,91430,1,0.047619047619047600,0.238095238095238000,0.500000000000000000,0.809523809523810000
2018,91430,2,0.088852262511237600,0.362526221156728000,0.662945759664369000,0.889271801018879000
2018,91431,1,0.030303030303030300,0.287878787878788000,0.606060606060606000,0.848484848484849000
2018,91431,2,0.074894831730769200,0.328575721153846000,0.630784254807692000,0.877103365384615000
2018,91432,1,0.041666666666666700,0.208333333333333000,0.444444444444445000,0.777777777777778000
2018,91432,2,0.090495679854479300,0.347961194482341000,0.640745793542519000,0.883280278914658000
2018,91433,2,0.081597222222222200,0.309027777777778000,0.586805555555556000,0.859375000000000000
2018,91434,1,0.138461538461538000,0.400000000000000000,0.669230769230769000,0.907692307692308000
2018,91434,2,0.078217044115722000,0.283741327398874000,0.537504909019505000,0.831980625736353000
2018,91435,1,0.218750000000000000,0.562500000000000000,0.804687500000000000,0.960937500000000000
2018,91435,2,0.081617086193745300,0.302898550724638000,0.564225781845919000,0.842944317315027000
2018,91436,2,0.093901128425577600,0.373589468027942000,0.732133261687265000,0.952444922084901000
2018,91437,1,0.125000000000000000,0.343750000000000000,0.609375000000000000,0.890625000000000000
2018,91437,2,0.075696012039127200,0.288788562829195000,0.550639578630549000,0.837547027840482000
2018,91438,2,0.117015774502198000,0.448409619860357000,0.783165244375485000,0.951771399017326000
2018,91439,2,0.088888888888888900,0.355555555555556000,0.690555555555556000,0.923888888888889000
2018,91440,1,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.500000000000000000
2018,91440,2,0.070080862533692700,0.295148247978437000,0.575471698113208000,0.850404312668464000
2018,91441,2,0.109411764705882000,0.361176470588235000,0.592941176470588000,0.841176470588235000
