Academic Year,Statistic Value,Frequency Count
2024,.184167,629
2024,.184266447678613,1
2024,.184274101421996,1
2024,.18436352635823,1
2024,.184446112327292,1
2024,.184474730595456,1
2024,.184543564143694,1
2024,.184830611572,1
2024,.18505450487161,1
2024,.185116358731757,1
2024,.185222274386957,1
2024,.185388405235468,1
2024,.185491807414839,1
2024,.185561305937048,1
2024,.18557058358377,1
2024,.185664821463512,1
2024,.185680156400564,1
2024,.185714581377538,1
2024,.185744556241288,1
2024,.185748686385668,1
2024,.185804262084229,1
2024,.185853072876465,1
2024,.185881742461411,1
2024,.185994301157069,1
2024,.186130674672591,1
2024,.186156147568019,1
2024,.186177341799187,1
2024,.186204784033765,1
2024,.186269362215797,1
2024,.186284775176266,1
2024,.186285723904704,1
2024,.1864356300043,1
2024,.186495084830698,1
2024,.186603387853079,1
2024,.186686449579993,1
2024,.186803899819282,1
2024,.18682989095477,1
2024,.186937490921875,1
2024,.187052126982478,1
2024,.187072395115124,1
2024,.187087998871174,1
2024,.187148509016398,1
2024,.187156726231554,1
2024,.187230414946015,1
2024,.187334288686757,1
2024,.187339489229978,1
2024,.187357253978122,1
2024,.187403602092683,1
2024,.187405706116283,1
2024,.187541252784455,1
2024,.187616655029095,1
2024,.1877025796321,1
2024,.18770457340369,1
2024,.187713930189013,1
2024,.187734874784823,1
2024,.187861667167402,1
2024,.188006951467314,1
2024,.188071271931652,57
2024,.18809982575993,1
2024,.188280218071164,1
2024,.18830074081436,1
2024,.188328725860867,1
2024,.188684366754852,1
2024,.188725208471388,1
2024,.188765352789437,1
2024,.188878690279453,1
2024,.188922205762222,1
2024,.18893860668865,1
2024,.189022384705562,1
2024,.189027414482585,1
2024,.189105738053467,1
2024,.189142063476259,1
2024,.189192402508818,1
2024,.189237786300709,1
2024,.189353493711795,1
2024,.189429143092887,1
2024,.189443083443478,1
2024,.189660309546995,1
2024,.189665930073891,1
2024,.189675766024879,1
2024,.189728661048971,1
2024,.189873228657421,1
2024,.189894454324966,1
2024,.189918958903824,1
2024,.189985440495168,1
2024,.190023278881867,1
2024,.190167024012541,1
