"List of all adjusted percentile weightings by result (Not achieved, Achieved, Merit and Excellence) for Unit and Achievement standards by Academic Year (2025)",,,,,,
Academic Year,Standard Number,Standard Version ,Adjusted Not Achieved Percentile,Adjusted  Achieved Percentile,Adjusted Merit Percentile,Adjusted Excellence Percentile
2025,5180,7,0.005405363591775181,0.5054053635917752,1,1
2025,5189,7,0,0.5,1,1
2025,5482,5,0.1409236528309404,0.6380583859556426,0.9962642811656844,0.9991295480409823
2025,5742,6,0,0.5,1,1
2025,5744,6,0,0.5,1,1
2025,5766,6,0,0.5,1,1
2025,5968,9,0.008064516129032251,0.5080645161290323,1,1
2025,6142,8,0.02167087016554103,0.521670870165541,0.9983657042957754,0.9983657042957753
2025,6143,8,0.100166391968645,0.6001663919686451,1,1
2025,6144,8,0,0.5,1,1
2025,6146,8,0.0782733648486344,0.5782733648486345,1,1
2025,6147,8,0,0.5,1,1
2025,6400,6,0,0.4999720896275938,0.9997745997121722,0.9998025100845784
2025,6400,7,0.002750402650109063,0.5027224922777029,0.9997745997121722,0.9998025100845784
2025,6400,8,0.002504482505620853,0.5024765721332147,0.9997745997121722,0.9998025100845784
2025,6400,9,0,0.4999720896275938,0.9997745997121722,0.9998025100845784
2025,6476,7,0.02499999818840448,0.5249999981884045,1,1
2025,6479,7,0,0.5,1,1
2025,6523,6,0,0.5,1,1
2025,6523,7,0,0.5,1,1
2025,6523,8,0,0.5,1,1
2025,6571,6,0.03502578278750279,0.5350257827875028,1,1
2025,6571,7,0.08180997496107895,0.581809974961079,1,1
2025,6580,8,0,0.5,1,1
2025,6582,6,0,0.5,1,1
2025,6611,6,0,0.5,1,1
2025,6612,6,0.02500000000000002,0.525,1,1
2025,6612,7,0,0.5,1,1
2025,6613,7,0,0.5,1,1
2025,6613,8,0,0.5,1,1
2025,6617,6,0,0.5,1,1
2025,6617,7,0,0.5,1,1
2025,6699,4,0.2671849440335153,0.7608501494573191,0.9936652054238038,0.9999999999999999
2025,6700,4,0,0.5,1,1
2025,6701,4,0,0.5,1,1
2025,6705,9,0,0.5,1,1
2025,6896,6,0.1746584427668607,0.6746584427668607,1,1
2025,6920,10,0,0.5,1,1
2025,6924,7,0,0.5,1,1
2025,6950,5,0,0.5,1,1
2025,6950,6,0,0.5,1,1
2025,7126,6,0.01731373391653979,0.5173137339165398,1,1
2025,7126,7,0.02475080485475489,0.5247508048547549,1,1
2025,7126,8,0.02992983298774721,0.5299298329877472,1,1
2025,7127,7,0.0658185637237183,0.5658185637237183,1,1
2025,7127,8,0.03394513262317667,0.5339451326231767,1,1
2025,7127,9,0,0.5,1,1
2025,7337,8,0,0.5,1,1
2025,7890,6,0,0,0,0.5
2025,7890,7,0,0.5,1,1
2025,8991,5,0.01246156288266037,0.2272582426427188,0.5666443745293455,0.851847694769287
2025,8995,5,0.08121579930152661,0.3377289548167853,0.654552252127435,0.8980390966121763
2025,8999,5,0.1509590700206265,0.3989439997264651,0.6342537732772744,0.8862688435714359
2025,9003,5,0.1048895070374745,0.3002218362409647,0.6370299717997698,0.9416976425962795
2025,9007,5,0,0,0,0.5
2025,9184,6,0,0.5,1,1
2025,9184,7,0,0.5,1,1
2025,9184,8,0,0.5,1,1
2025,9221,10,0.1915634385742002,0.583711048156184,0.8458222440408443,0.9536746344588605
2025,9681,7,0.0394736984663831,0.539473698466383,1,1
2025,9681,8,0.02869741148613009,0.52869741148613,1,1
2025,9694,8,0,0.5,1,1
2025,9694,9,0.0403614670054061,0.5403614670054061,1,1
